,UniqueLocations
236,Madhira
237,Nunna220KVSS
238,Khammam PG
239,GIS Tuticorin 230KV
240,Repeater Kodikonda  (KDP-Madugiri)
241,Repeater HB Hally Madhugiri-Kugdi-766
242,132KVSS Kamavarapu Kota
243,400 KVSS Ramadugu
244,400 KVSS Sundilla
245,DINDI
246,T.R.Pattinam
247,Puguluru HVDC
248,Pugulur/KarurPGCIL
249,Madakkathara
250,DB Pura 220 kV
251,Chalakudy
252,Chamarajanagara 220 kV
253,Maheswaram 400 KV
254,Ingur TNEB
255,VTPS IV
256,ALAMATHY 400 kV SS
257,400 KVSS Jaipur
258,NCTPS I (TNEB)
259,Kalpakkam
260,Vajamangala 220 kV
261,Mysore PGCIL
262,Pudansandai 230 kV SS
263,220 KV SS Sullurpet
264,Chillakallu 220KVSS
265,Vijayawada PG
266,Villianur
267,Khammam
268,Kurumbapet
269,Warangal PG
270,Karaikudi 400kV PG
271,Guttur 400 kV (KPTCL)
272,Thiruvananthapuram
273,THIRUVALAM 400 kV SS
274,C'PETA
275,UDUMALPET 230 kV SS
276,Davangere KPTCL
277,Dharmapuri PS
278,ORAGADAM 230 kV SS
279,Urvakonda 400 KV SS
280,Kadapa PG
281,Nellore PG_400kv
282,Udumalpet PG
283,SRISAILAM LBPH
284,Anthiyur 230 kV SS
285,Gooty PG
286,Kolar PGCIL
287,VILLUPURAM 230 kV SS
288,Tanjore 230KV
289,Kanhirode 
290,Munirabad PG
291,Neyveli TS1
292,PERAMBALUR   230 kV SS
293,400 KVSS Gajwel
294,400KVSS Kamavarapu Kota
295,Arasikere 220 kV
296,220KVSS Madanapalli
297,Aswaraopet
298,220KV SS Yerraguntla
299,220KVSS Kalikiri
300,400 KVSS Malkaram
301,Shornur KSEB
302,RAMAPURAM
303,Pondy SCC
304,Kadra G S
305,S.P. Koil
306,400kV Kolar PGCIL
307,Ingur 230 kV SS
308,Pallakapalayam 230 kV SS
309,MPTS (TNEB)
310,Villianur 230
311,Eripakkam
312,230 kV MADURAI SS  [PASUMALAI]
313,Tondiapet TNEB
314,Tangeda 132kvss
315,Kurukkathy 230 kV SS
316,Neyveli TS1 Exp
317,VTPS
318,Ottiyambakkam                 400KV SS
319,Neyveli TS2
