source,destination,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Kudgi 765kv PG,NRLDC,Kudgi,Narendra,Davangere,Munirabad,Raichur,Kurnool Ap,SSLM LBPH,Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,
Kudgi NTPC,SRLDC,Kudgi NTPC,Kudgi,Narendra,Davangere,Hiriyur,NLMNGL,Bidadi,SMNHL,SRLDC,,,,,,,,,,,,
Kudgi NTPC,NRLDC,Kudgi NTPC,Kudgi,Narendra,Davangere,Munirabad,Raichur,Kurnool Ap,SSLM LBPH,Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,
Vallur NTPC,SRLDC,"Vallur, Alamatty, Sriperumbdur, Chittor, THVLM, Kolar, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Vallur NTPC,NRLDC,"Vallur, Alamatty, Repeater, Nellore, Kadapa, CK Pally, Muddanur, Ananthpur, Gooty, Somayajulapalli, Nannur, SSLM LBPH",Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
Tuticorin GIS,SRLDC,"GIS Tuticorin, Madurai, Karaikudi, Trichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Tuticorin GIS,NRLDC,"GIS Tuticorin, Madurai, Karaikudi, Trichy, Nagapattanam, NLC TS1 Exp,NLC TS1, Pondy, Sripermbdur, Chittor, Kadapa, CK Pally, Muddanur, Ananthpur, Gooty, Somayajulapalli, Nannur, SSLM LBPH",Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
Maniyachi(Mythra),SRLDC,"Maniyachi, GIS Tuticorin, Madurai, Karaikudi, Trichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Maniyachi(Mythra),NRLDC,"Maniyachi, GIS Tuticorin, Madurai, Karaikudi, Trichy, Nagapattanam, NLC TS1 Exp,NLC TS1, Pondy, Sripermbdur, Chittor, Kadapa, CK Pally, Muddanur, Ananthpur, Gooty, Somayajulapalli, Nannur, SSLM LBPH",Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
Chandragiri,SRLDC,"Chandragiri, GIS Tuticorin, Madurai, Karaikudi, Trichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Chandragiri,NRLDC,"Chandragiri, GIS Tuticorin, Madurai, Karaikudi, Trichy, Nagapattanam, NLC TS1 Exp,NLC TS1, Pondy, Sripermbdur, Chittor, Kadapa, CK Pally, Muddanur, Ananthpur, Gooty, Somayajulapalli, Nannur, SSLM LBPH",Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
Poovani(Orange),SRLDC,"Poovani, GIS Tuticorin, Madurai, Karaikudi, Trichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Poovani(Orange),NRLDC,"Poovani, GIS Tuticorin, Madurai, Karaikudi, Trichy, Nagapattanam, NLC TS1 Exp,NLC TS1, Pondy, Sripermbdur, Chittor, Kadapa, CK Pally, Muddanur, Ananthpur, Gooty, Somayajulapalli, Nannur, SSLM LBPH",Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
Hosur PG,SRLDC,"Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Hosur PG,NRLDC,"Hosur,Kolar, Tumkur, Pavagada, Gooty, Somayajulapalli, Nannur, SSLM LBPH",Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
Udumalpet PG,SRLDC,"Udumalpet, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Udumalpet PG,NRLDC,"Udumalpet, Pugulur, Salem, Dharmapuri, Hoody, Kolar, Tumkur, Pavagada, Gooty, Somayajulapalli, Nannur, SSLM LBPH",Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
Salem PG,SRLDC,"Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Salem PG,NRLDC,"Salem, Dharmapuri, Hoody, Kolar, Tumkur, Pavagada, Gooty, Somayajulapalli, Nannur, SSLM LBPH",Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
Sriperambdur PG,SRLDC,"Sriperumbdur, Chittor, THVLM, Kolar, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Sriperambdur PG,NRLDC,"Sriperambdur, Pondy, NLC TS2, Nagapattanam, Dharmapuri, Salem, Dharmapuri, Hoody, Kolar, Tumkur, Pavagada, Gooty, Somayajulapalli, Nannur, SSLM LBPH",Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
Somanahalli PG,SRLDC,"SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Somanahalli PG,NRLDC,"SMNHL, Kolar, Tumkur, Pavagada, Gooty, Somayajulapalli, Nannur, SSLM LBPH",Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
Mysore PG,SRLDC,"Mysore, NLMNGL, Bidadi, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Mysore PG,NRLDC,"Mysore, Kozhikode, Trichur, Palakkad, Udumalpet, Salem, Dharmapuri, Hoody, Kolar, Tumkur, Pavagada, Gooty, Somayajulapalli, Nannur, SSLM LBPH",Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
Trichur PG,SRLDC,"Trichur, Kozhikode, Mysore, NLMNGL, Bidadi, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Trichur PG,NRLDC,"Trichur, Palakkad, Udumalpet, Salem, Dharmapuri, Hoody, Kolar, Tumkur, Pavagada, Gooty, Somayajulapalli, Nannur, SSLM LBPH",Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
Trichy PG,SRLDC,"Trichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Trichy PG,NRLDC,"Trichy, Nagapattanam, NLC TS1 Exp,NLC TS1, Pondy, Sripermbdur, Chittor, THVLM, Kolar, Tumkur, Pavagada, Gooty, Somayajulapalli, Nannur, SSLM LBPH",Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
Madurai PG,SRLDC,"Madurai, Karaikudi, Trichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Madurai PG,NRLDC,"Madurai, Karaikudi,Trichy, Nagapattanam, NLC TS1 Exp,NLC TS1, Pondy, Sripermbdur, Chittor, THVLM, Kolar, Tumkur, Pavagada, Gooty, Somayajulapalli, Nannur, SSLM LBPH",Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
Trivendrum PG,SRLDC,"Trivendrum, Tirunelveli, Madurai, Karaikudi, Trichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Trivendrum PG,NRLDC,"Trivendrum, Tirunelveli, Madurai, Karaikudi, Trichy, Nagapattanam, NLC TS1 Exp,NLC TS1, Pondy, Sripermbdur, Chittor, THVLM, Kolar, Tumkur, Pavagada, Gooty, Somayajulapalli, Nannur, SSLM LBPH",Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
SALEM PG,SRLDC,"Salem, SRLDC",,,,,,,,,,,,,,,,,,,,
SALEM PG,SRLDC,"Salem, Trichur, Madurai, Pondy, Sripermbdur, Gooty, Vijayawada, Vizag, Ghanapura, Narendra, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
TRICHUR PG,SRLDC,"Trichur, Salem, SRLDC",,,,,,,,,,,,,,,,,,,,
TRICHUR PG,SRLDC,"Salem, Trichur, Madurai, Pondy, Sripermbdur, Gooty, Vijayawada, Vizag, Ghanapura, Narendra, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Madurai PG,SRLDC,"Madurai, Trichur, Salem, SRLDC",,,,,,,,,,,,,,,,,,,,
Madurai PG,SRLDC,", Madurai, Pondy, Sripermbdur, Gooty, Vijayawada, Vizag, Ghanapura, Narendra, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
PONDY PG,SRLDC,"Pondy, Madurai, Trichur, Salem, SRLDC",,,,,,,,,,,,,,,,,,,,
PONDY PG,SRLDC,"Pondy, Sripermbdur, Gooty, Vijayawada, Vizag, Ghanapura, Narendra, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Sriperambdur PG,SRLDC,"Sripermbdur, Pondy, Madurai, Trichur, Salem, SRLDC",,,,,,,,,,,,,,,,,,,,
Sriperambdur PG,SRLDC,"Sripermbdur, Gooty, Vijayawada, Vizag, Ghanapura, Narendra, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
NARENDRA PG,SRLDC,"Narendra, SMNHAL, SRLDC",,,,,,,,,,,,,,,,,,,,
NARENDRA PG,SRLDC,"Narendra, Ghanapura, Vizag, Vijayawada, Gooty, Sriperambdur, Pondy, Madurai, Trichur, Salem, SRLDC",,,,,,,,,,,,,,,,,,,,
Somanahalli PG,SRLDC,"SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Somanahalli PG,SRLDC,"SMNHL, Narendra, Ghanapura, Vizag, Vijayawada, Gooty, Sriperambdur, Pondy, Madurai, Trichur, Salem, SRLDC",,,,,,,,,,,,,,,,,,,,
SRLDC,SRLDC,SRLDC (DCPC Installed in SRLDC only),,,,,,,,,,,,,,,,,,,,
Somanahalli PG,SRLDC,"SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Hosur PG,SRLDC,"Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
SALEM PG,SRLDC,"Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Udumalpet PG,SRLDC,"Udumalpet, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
TRICHUR PG,SRLDC,"Trichur, Palakkad, Udumalpet, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
COCHIN PG,SRLDC,"Cochin, Trichur, Palakkad, Udumalpet, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Kozhikode PG,SRLDC,"Kozhikode, Cochin, Trichur, Palakkad, Udumalpet, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Mysore PG,SRLDC,"Mysore, Kozhikode, Cochin, Trichur, Palakkad, Udumalpet, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Hassan PG,SRLDC,"Hassan, Mysore, Kozhikode, Cochin, Trichur, Palakkad, Udumalpet, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Bidadi PG,SRLDC,"Bidadi, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
YELAHANKA PG,SRLDC,"Yelahanka, NLMNGL, Bidadi, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
KOLAR PG,SRLDC,"Kolar, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Thiruvalam PG,SRLDC,"Thiruvalam, Kolar, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Pavagada PG,SRLDC,"Pavagada, Tumkur, Kolar, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Hiriyur PG,SRLDC,"Hiriyur, Pavagada, Tumkur, Kolar, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
NARENDRA PG,SRLDC,"Narendra, Davangere/Guttur, Hiriyur, Pavagada, Tumkur, Kolar, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Kudgi PG,SRLDC,"Kudgi, Narendra, Davangere/Guttur, Hiriyur, Pavagada, Tumkur, Kolar, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Kaiga NPCIL,SRLDC,"Kaiga, Narendra, Davangere/Guttur, Hiriyur, Pavagada, Tumkur, Kolar, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Tumkur PG,SRLDC,"Tumkur, Kolar, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Arasur PG,SRLDC,"Arasur, Udumalpet, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Dharmapuri PG,SRLDC,"Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Nagapattanam PG,SRLDC,"Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Neyveli TS1,SRLDC,"Neyveli TS1, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Karaikudi PG,SRLDC,"Karaikudi, Thrichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Madurai PG,SRLDC,"Madurai, Karaikudi, Thrichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Tirunelveli PG,SRLDC,"Tirunelveli, Madurai, Karaikudi, Thrichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Kudankulam,SRLDC,"Kudankulam,Tirunelveli, Madurai, Karaikudi, Thrichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Trivendrum PG,SRLDC,"Trivendrum, Tirunelveli, Madurai, Karaikudi, Thrichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Kudankulam,SRLDC,"Kudankulam, Kundara, Pothenkode, Trivendrum, Tirunelveli, Madurai, Karaikudi, Thrichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Trichy PG,SRLDC,"Trichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Karur PG,SRLDC,"Karur, Alandur, Trichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
NLC TS2 Exp,SRLDC,"Nlc TS2 Exp, NLC TS2, NLC TS1Exp, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
NLC TS2,SRLDC,"NLC TS2, NLC TS1Exp, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Pondy PG,SRLDC,"Pondy, Sriperambdur, Chittor, Thiruvalam, Kolar, SMHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Sriperambdur PG,SRLDC,"Sriperambdur, Chittor, Thiruvalam, Kolar, SMHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Bhavini,SRLDC,"Bhavini, Kalvinthapattu, Sriperambdur, Chittor, Thiruvalam, Kolar, SMHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Kalamasserry SLDC,SRLDC,"Kalamasserry, Cochin, Trichur, Palakkad, Udumalpet, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Chennai SLDC,SRLDC,"Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
KPTCL SLDC,SRLDC,"KPTCL SLDC, SRLDC",,,,,,,,,,,,,,,,,,,,
Chennai SLDC (Main),SRLDC,"Madurai SLDC, Madurai PG, Karaikudi, Trichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Chennai SLDC (Protection),SRLDC,"Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Kalamasserry SLDC (main),SRLDC,"Kalamasserry, Cochin, Trichur, Palakkad, Udumalpet, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Kalamasserry SLDC (Protection),SRLDC,"Kalamasserry, Chalakudy, Trichur KSEB, Kozhikode, Mysore, NGMNGL, Bidadi, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Pondy SCC (main),SRLDC,"Pondy SCC, Bahour, NLC TS2, NLC TS1 Exp, Nagapattanam,  Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Pondy SCC (Protection),SRLDC,"Pondy SCC, Bahour, NLC TS2, Pondy, Sriperambdur, Chittor, Thiruvalam, Kolar, SMHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Chennai SLDC,SRLDC,"Chennai SLDC, Madurai SLDC, Madurai PG, Karaikudi, Trichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Chennai SLDC,SRLDC,"Chennai SLDC, NLC TS2, Pondy, Sriperambdur, Chittor, Thiruvalam, Kolar, SMHL, SRLDC",,,,,,,,,,,,,,,,,,,,
AP SLDC (Gunadala),SRLDC,"AP SLDC, Nunna SLDC, Sattenapalli, Shrisylam, Nannur, Somayajulapalli, Gooty, Ananthapura, Muddanur, CK Pally, Kadapa, Chittor, Thiruvalam, Kolar, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
AP SLDC (Gunadala),SRLDC,"Gunadala, VTPS, Talapalli, Nagarjunasagar, Mehaboobnagar, Raichur, Munirabad, Davangere, Hiriyur, NLMNGL, Bidadi, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
KPTCL,SRLDC,"KPTCL REMC, SRLDC",,,,,,,,,,,,,,,,,,,,
NRLDC,SRLDC,"SRLDC, SMNHL, Kolar, Tumkur, Pavagada, Gooty, Somayajulapalli, Nannur, SSLM LBPH",Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
NRLDC,SRLDC,"SRLDC, SMNHL, Bidadi, NLMNGL, Hiriyur, Davangere, Narenfra, Kudgi, WR, NR, NRLDC",,,,,,,,,,,,,,,,,,,,
Bethan Wind Plant (GIS Tuticorin),SRLDC,"Bethan wind Plant, GIS Tuticorin, Tuticorin PS, Madurai, Karaikudi, Thrichy, Nagapattanam, Dharmapuri, Salem, Hosur, SMNHL, SRLDC",,,,,,,,,,,,,,,,,,,,
Kalvinthapattu PG,NLC TS2,"NLC TS2, Pondy PG, Sriperambdur, Kalvinthapattu",,,,,,,,,,,,,,,,,,,,
Karur PG,NLC TS2,"NLC Ts2, NLC TS1 Exp, Nagapattanam, Trichy, Alandur, Karur",,,,,,,,,,,,,,,,,,,,
Pugulur HVDC,Karur PG,"Pugulur HVDC, Karur PG",,,,,,,,,,,,,,,,,,,,
Pugulur HVDC,Salem PG,"Pugulur HVDC, Salem PG",,,,,,,,,,,,,,,,,,,,
Pugulur HVDC,Udumalpet PG,"Pugulur HVDC, Udumalpet PG",,,,,,,,,,,,,,,,,,,,
Tumkur PG,Pavagada PG,"Tumkur PG, Pavagada PG",,,,,,,,,,,,,,,,,,,,
Tumkur PG,Kudgi PG,"Tumkur PG, Pavagada PG, Hiriyur PG, Davanger, Narendra, Kudgi",,,,,,,,,,,,,,,,,,,,
Mysore PG,Pavagada PG,"Mysore, NLMNGL, Hiriyur, Pavagada",,,,,,,,,,,,,,,,,,,,
Mysore PG,Hiriyur PG,"Mysore, NLMNGL, Hiriyur",,,,,,,,,,,,,,,,,,,,
KOLAR PG,Nelamangala,"Kolar, SMNHL, Bidadi, Nelamangala",,,,,,,,,,,,,,,,,,,,
KUDAMKULAM,SALEM,Tirunelveli,Madurai,Karaikudi,Trichy,Nagapattanam,Dharmapuri,,,,,,,,,,,,,,,
KOZHIKODEKSEB,SALEM,Kozhikode PG,MYSORE,NELAMANGALA,BIDADI,SOMNA,HOSUR,,,,,,,,,,,,,,,
Hassan PG,SALEM,UDUMALPET,PALAKAD,TRICHUR,Kozhikode,Mysore,,,,,,,,,,,,,,,,
Shornur,SALEM,Kozhikode,Mysore,NELAMANGALA,BIDADI,SOMNA,HOSUR,,,,,,,,,,,,,,,
Chalakudy,SALEM,UDUMALPET,PALAKAD,TRICHUR,,,,,,,,,,,,,,,,,,
Kundara,SALEM,EDAMON,TRIVENDRUM,TIRUNELVELI,MADURAI,KARAIKUDI,TRICHY,NAGAPATTANAM,DHARMAPURI,,,,,,,,,,,,,
Pothenkode,SALEM,TRIVENDRUM,TIRUNELVELI,MADURAI,KARAIKUDI,TRICHY,NAGAPATTANAM,DHARMAPURI,,,,,,,,,,,,,,
Edamon,SALEM,TRIVENDRUM,TIRUNELVELI,MADURAI,KARAIKUDI,TRICHY,NAGAPATTANAM,DHARMAPURI,,,,,,,,,,,,,,
Karaikal,SALEM,BAHOUR,NEYVELLI,NAGAPATTANAM,DHARMAPURI,,,,,,,,,,,,,,,,,
Thiruvarur,SALEM,KADALANAGUDI,NEYVELLI,NAGAPATTANAM,DHARMAPURI,,,,,,,,,,,,,,,,,
Davangere,SALEM,"Salem, Hosur, Kolar, Tumkur, Pavagada, Hiriyur, Davangere",,,,,,,,,,,,,,,,,,,,
Kalamasserry,SALEM,"Salem, Udumalpet, Palakkad, Trichur, Cochin, Kalamasserry",,,,,,,,,,,,,,,,,,,,
"APSLDC, Vijayawada","SRLDC, Bangalore",APSLDC,VTPS,Tallapalli,SSLM RB,NANNUR,S.Palli,GOOTY 220KV,Ananthapur,RTPP 220KV,Kadapa 400KV,Chittoor 400KV,Sriperamadur,Pondy,NLC_TS_2,BAHOUR,VILLANUR,PONDY SCC,,,,
"APSLDC, Vijayawada","SRLDC, Bangalore",APSLDC,NUNNA,VTPS,Tallapalli,SSLM RB,NANNUR,S.Palli,GOOTY 220KV,GOOTY PG,GOOTY 5MSP,PAVAGADA 5MSP,HIRUYUR 5 MSP,NEELAMANGALA 2,BIDADI,SMNHL 1,SRLDC 1,,,,,
"APSLDC, Vijayawada","SRLDC, Bangalore",APSLDC,VTPS,Tallapalli,N.Sagar PG,MAHABUB NAGAR,RAICHUR STM16,MUNIRABAD,DAVANGERE/ GUTUR,DAVANGERE/GUTUR 2,HIRUYUR 5 MSP,NEELAMANGALA 2,BIDADI,SMNHL 1,SRLDC 1,,,,,,,
"APSLDC, Vijayawada","SRLDC, Bangalore",APSLDC,NUNNA,SATTENAPALLI,SSLM RB,NANNUR,S.Palli,GOOTY 220KV,GOOTY PG,GOOTY 5MSP,PAVAGADA 5MSP,PAVAGADA 3MSP,TUMUKUR,KOLAR PGCIL STM16,2,KOLAR PGCIL STM 16,1,SMNHL 1,SRLDC 1,,,
"APSLDC, Vijayawada","SRLDC, Bangalore",APSLDC,NUNNA,VTPS,TALLAPALLI,SSLM RB,NANNUR,S.Palli,GOOTY 220KV,GOOTY PG,GOOTY 5MSP,PAVAGADA 5MSP,HIRUYUR 5MSP,NEELAMANGALA 2,BIDADI,SMNHL 1,SRLDC 1,,,,,
"APSLDC, Vijayawada","SRLDC, Bangalore",APSLDC REMC,NUNNA REMC,SATTENAPALLI,SSLM RB,NANNUR,S.Palli,GOOTY 220KV,GOOTY PG,GOOTY 5MSP,PAVAGADA 5MSP,HIRUYUR 5MSP,NEELAMANGALA 2,BIDADI,SMNHL 1,SRLDC 1,SRLDC 2,SRLDC REMC,,,,
"APSLDC, Vijayawada","SRLDC, Bangalore",APSLDC,NUNNA,SATTENAPALLI,SSLM RB,NANNUR,S.Palli,GOOTY 220KV,GOOTY PG,GOOTY 5MSP,PAVAGADA 5MSP,HIRUYUR 5MSP,NEELAMANGALA 2,SMNHL 1,SRLDC 1,SRLDC 2,SRLDC REMC,,,,,
"APSLDC, Vijayawada","SRLDC, Bangalore",APSLDC,NUNNA,SATTENAPALLI,SSLM RB,NANNUR,S.Palli,GOOTY 220KV,GOOTY PG,GOOTY 5MSP,PAVAGADA 5MSP,HIRUYUR 5MSP,NEELAMANGALA 2,SMNHL 1,SRLDC 1,,,,,,,
400KVSS Kamavarapu Kota,400KVSS Suryapeta,Kamavarapu Kota 400KVSS,SURYAPETA,,,,,,,,,,,,,,,,,,,
400KVSS Kamavarapu Kota,400KVSS Suryapeta,Kamavarapu Kota 400KVSS,SURYAPETA,,,,,,,,,,,,,,,,,,,
400KVSS Kamavarapu Kota,400KVSS Suryapeta,Kamavarapu Kota 400KVSS,SURYAPETA,,,,,,,,,,,,,,,,,,,
132KVSS Kamavarapu Kota,132KVSS Aswarao Peta,Kamavarapu Kota 132KVSS to Aswarao Peta,,,,,,,,,,,,,,,,,,,,
Lower sileru Power House,220KVSS Asupaka,Lower sileru Power House,Asupaka,,,,,,,,,,,,,,,,,,,
Lower sileru Power House,K.T.P.S Vth stage,Lower sileru Power House,K.T.P.S Vth stage,,,,,,,,,,,,,,,,,,,
Upper sileru Power House,Balimela,Upper sileru power houe,Balimela,,,,,,,,,,,,,,,,,,,
Upper sileru Power House,Balimela,Upper sileru power houe,Balimela,,,,,,,,,,,,,,,,,,,
400 KVSS Kalapaka,400 KVSS Khammam,400 KVSS Kalapaka,400 KVSS Khammam,,,,,,,,,,,,,,,,,,,
400 KVSS Kalapaka,400 KVSS Khammam,400 KVSS Kalapaka,400 KVSS Khammam,,,,,,,,,,,,,,,,,,,
400 KVSS Kalapaka,400 KVSS Asupaka,400 KVSS Kalapaka,400 KVSS Asupaka,,,,,,,,,,,,,,,,,,,
132 KVSS Araku,Machkund Power House,132 KVSS Araku,Machkund Power House,,,,,,,,,,,,,,,,,,,
Nunna,KTPS,Nunna,KTPS,,,,,,,,,,,,,,,,,,,
Chillakallu 220kV SS,Suryapet 220kV SS,Chillakallu,Suryapet,,,,,,,,,,,,,,,,,,,
Chillakallu 220kV SS,Pulichintala220kVSS,Chillakallu,Pulichintala,,,,,,,,,,,,,,,,,,,
Sattenapally 400kvss,Srisailam (LB),STPL,SSLM(LB),,,,,,,,,,,,,,,,,,,
Sattenapally 400kvss,Srisailam (LB),STPL,SSLM(LB),,,,,,,,,,,,,,,,,,,
Sattenapally 400kvss,Srisailam (LB),STPL,SSLM(LB),,,,,,,,,,,,,,,,,,,
Tangeda 132kvss,Wadapally,Tangeda,Wadapally,,,,,,,,,,,,,,,,,,,
Tallapally 220kvss,N.Sagar (LB),Tallapally,N.Sagar(LB),,,,,,,,,,,,,,,,,,,
Tallapally 220kvss,N.Sagar (LB),Tallapally,N.Sagar(LB),,,,,,,,,,,,,,,,,,,
